id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1829330,1852294,1,0.402429604,0.055555556,78,0.083333333,0.5,2,0
1829330,1853059,1,0.352956124,0.041666667,156,0.058823529,0.5,1,0
1829330,1855474,1,0.352956124,0.045454545,130,0.058823529,0.5,0,0
1829332,1832356,1,0.558110627,0.090909091,27,0.166666667,0.5,0,0
1829332,1843550,1,0.402429604,0.071428571,54,0.083333333,0.5,0,0
1829332,1853356,1,0.558110627,0.05,108,0.166666667,0.5,0,0
1829333,1845231,1,0.513898342,0.142857143,12,0.142857143,0.5,2,0
1829333,1849741,1,0.513898342,0.1,18,0.142857143,0.5,2,0
1829333,1871587,1,0.513898342,0.166666667,10,0.142857143,0.5,2,0
1829340,1830066,1,0.480898347,0.055555556,48,0.125,0.5,0,0
1829340,1831459,1,0.480898347,0.076923077,33,0.125,0.5,0,0
1829345,1865522,1,0.480898347,0.25,6,0.125,0.5,0,0
1829345,1865987,1,0.480898347,0.2,9,0.125,0.5,0,0
1829350,1837643,3,2.164042561,0.6,16,0.75,1,6,1
1829358,1829448,1,0.339623272,0.05,110,0.052631579,0.5,2,0
1829358,1832134,1,0.339623272,0.076923077,40,0.052631579,0.5,0,0
1829358,1833238,1,0.339623272,0.071428571,50,0.052631579,0.5,2,0
1829408,1833448,4,2.295666814,0.571428571,30,0.7,1,8,1
1829408,1851189,5,3.080238643,0.714285714,36,0.983333333,1,10,1
1829422,1831360,1,0.389871245,0.1,28,0.076923077,0.5,0,0
1829422,1840000,1,0.389871245,0.2,8,0.076923077,0.5,2,0
1829422,1840944,1,0.389871245,0.1,28,0.076923077,0.5,2,0
1829422,1856413,1,0.389871245,0.066666667,48,0.076923077,0.5,0,0
1829422,1863101,1,0.389871245,0.25,4,0.076923077,0.5,2,0
1829422,1863868,1,0.389871245,0.090909091,32,0.076923077,0.5,2,0
1829448,1832134,1,0.339623272,0.071428571,44,0.052631579,0.5,0,0
1829448,1833493,1,0.339623272,0.05,110,0.052631579,0.5,4,0
1829472,1841572,1,0.31465798,0.05,80,0.041666667,0.5,2,0
1829472,1842500,1,0.31465798,0.043478261,128,0.041666667,0.5,2,0
1829472,1854403,1,0.31465798,0.037037037,192,0.041666667,0.5,2,0
1829472,1864942,1,0.31465798,0.043478261,128,0.041666667,0.5,3,0
1829504,1843006,1,0.513898342,0.166666667,12,0.142857143,0.5,2,0
1829506,1832191,5,2.790553133,0.416666667,66,0.833333333,1,5,1
1829506,1853144,5,2.790553133,0.416666667,66,0.833333333,1,7,1
1829577,1856477,2,0.757846363,0.153846154,54,0.142857143,0.5,1,0
1829590,1832256,1,0.378923182,0.076923077,24,0.071428571,0.5,4,0
1829590,1837495,1,0.378923182,0.076923077,24,0.071428571,0.5,2,0
1829590,1841683,1,0.378923182,0.111111111,16,0.071428571,0.5,4,0
1829590,1853180,1,0.378923182,0.1,18,0.071428571,0.5,2,0
1829596,1852774,4,1.737177928,0.444444444,40,0.4,0.5,0,0
1829596,1853905,4,1.737177928,0.285714286,65,0.4,0.5,0,0
1829668,1830166,2,0.621334935,0.08,180,0.08,0.5,3,0
1829668,1830169,2,0.621334935,0.095238095,132,0.08,0.5,3,0
1829668,1831041,2,0.621334935,0.095238095,132,0.08,0.5,4,0
1829668,1832813,1,0.389871245,0.0625,60,0.076923077,0.5,0,0
1829668,1835118,2,0.621334935,0.095238095,132,0.08,0.5,0,0
1829668,1835331,2,0.621334935,0.066666667,240,0.08,0.5,3,0
1829668,1837852,4,2.485339738,0.666666667,25,0.8,1,8,1
1829668,1839266,2,0.621334935,0.1,120,0.08,0.5,3,0
1829668,1851361,2,0.621334935,0.083333333,168,0.08,0.5,3,0
1829668,1858584,2,0.621334935,0.117647059,84,0.08,0.5,3,0
1829668,1859545,2,0.621334935,0.117647059,84,0.08,0.5,4,0
1829668,1866183,2,0.621334935,0.111111111,96,0.08,0.5,4,0
1829668,1872875,1,0.389871245,0.055555556,84,0.076923077,0.5,0,0
1829679,1831904,1,0.558110627,0.111111111,16,0.166666667,0.5,0,0
1829679,1833307,0,0,0,8,0,0,0,1
1829715,1836770,1,0.480898347,0.1,30,0.125,0.5,0,0
1829715,1859353,1,0.480898347,0.066666667,60,0.125,0.5,2,0
1829715,1860365,1,0.480898347,0.1,30,0.125,0.5,2,0
